hospital,address,phone,city,pincode,,,
ANANDALOK HOSPITAL,"DK-7/3, SALT LAKE, KOLKATA, WEST BENGAL, 700091",033-23592931-34,KOLKATA,,,,
ANJAKHA HOSPITAL,"NO. 23, MEDAVAKKAM MAIN ROAD, MADIPAKKAM, CHENNAI, TAMILNADU, 600091","044-22470405, 0406, 1110",CHENNAI,,,,
APEX HOSPITAL,"AWING VAISHALI HEIGHTS,NEAR STANDERD CHARTERED BANK,CHANDAVARKAR ROAD,BORIVALI(W), MUMBAI, MAHARASHTRA, 400092",022-28913322,MUMBAI,,,,
APEX INSTITUTE OF MEDICAL SCIENCES,"1219, SURVEY PARK, SANTOSHPUR, KOLKATA, WEST BENGAL, 700075",,KOLKATA,,,,
"APEX MULTISPECIALITY AND LAPAROSCOPY HOSPITAL(UNIT OF KMN HEALTHCARE PVT.LTD,)","3,C-79,B.P.N.I.T., D.A.V. COLLEGE ROAD,OPP ESI MEDICAL COLLEGE, FARIDABAD, HARYANA, 121001",0129-2422200,FARIDABAD,,,,
APOLLO EMERGENCY HOSPITALS,"MEHDIPATANAM X ROAD MEHDIPATNAM, HYDERGUDA, HYDERABAD, ANDHRA PRADESH, 500001",040-23388339,HYDERABAD,,,,
APOLLO EMERGENCY HOSPITALS,"MALAKPET, HYDERABAD, ANDHRA PRADESH, 0",040-2455751/52,HYDERABAD,,,,
APOLLO HOSPITAL HYD,"JUBILEE HILLS, JUBILEE HILLS, HYDERABAD, ANDHRA PRADESH, 500033",040-23607777,HYDERABAD,,,,
APOLLO HOSPITAL HYD,"NEAR OLD M L A WUARTER HYDERGUDA, HYDERGUDA, HYDERABAD, ANDHRA PRADESH, 500029",040-23388339,HYDERABAD,,,,
APOLLO HOSPITALS,"PLOT NO 1A, BHAT GIDC ESTATE, GANDHI NAGAR, AHMEDABAD, GUJARAT, 382428",079-66701800,AHMEDABAD,,,,
APOLLO HOSPITALS,"9-1-87/1 ST JOHN'S ROAD, NEXT TO KEYS HIGH SCHOOL, SECUNDERABAD, ANDHRA PRADESH, 500003",040-27718888,SECUNDERABAD,,,,
APOLLO HOSPITALS (KAKINANDA),"MAIN ROAD, KAKINADA, KAKINADA, ANDHRA PRADESH, 533001",8842345700,KAKINADA,,,,
APOORVA HOSPITAL,"46/A, SANTOSH NAGAR COLONY, MEHDIPATNAM, HYDERABAD, ANDHRA PRADESH, 500028",040-65503232,HYDERABAD,,,,
ARIHANT EYE CARE HOSPITAL,"B-104, GOMTI APARTMENT, S.V.P ROAD, BORIVALI (W), MUMBAI, MAHARASHTRA, 400092",022-28957699,MUMBAI,,,,
ARTEMIS MEDICARE SERVICES LIMITED,"SECTOR-51, GURGAON, GURGAON, HARYANA, 122001",0124-6767999,GURGAON,,,,
ARUNA HOSPITAL,"GANGANAMMAPET, PRAKASAM ROAD, TENALI, ANDHRA PRADESH, 522201",8644226315,TENALI,,,,
ARYAN HOSPITAL PRIVATE LIMITED,"OLD RAILWAY ROAD, GURGAON, GURGAON, HARYANA, 122001",0124-2330945,GURGAON,,,,
ASHA HOSPITAL,"H.NO. 19-66/11, PRASHANTH NAGAR, PHASE-II, BEHIND SPENCERS, HITENSION ROAD, DR. A.S. RAO NAGAR, KAPRA, HYDERABAD, ANDHRA PRADESH, 500062",040-27136109,HYDERABAD,,,,
ASHIRWAD MATERNITY & GENERAL HOSPITAL,"SAMIR APARTMENT, GROUND FLOOR, JESAL PARK, BHAYNDER (E), THANE, MAHARASHTRA, 401105",022-28161958,THANE,,,,
ASHIRWAD NURSING HOME,"RAJGIR SADAN, GROUND FLOOR, LAXMI BAUG, OPP SION RLY. STN. , SION (W), MUMBAI, MAHARASHTRA, 400022",022-24076599,MUMBAI,,,,
ASHISH EYE HOSPITAL,"VIDHYANCHAL APT. HARDEVI SCTY. ROAD, LANE OPP. BANK OF BARODA, JOGESHWARI, MUMBAI, MAHARASHTRA, 400060",022-28216249/28360629,MUMBAI,,,,
ASHWANI HOSPITAL,"HUDAMARKET, SECTOR 9, FARIDABAD, HARYANA, 0",0129-4183200-230,FARIDABAD,,,,
ASHWANI HOSPITAL,"8 D-1,SEC-11, YMCA ROAD, FARIDABAD, HARYANA, 121006",0129-4183100,FARIDABAD,,,,
ASHWINI GENERAL HOSPITAL,"ARUNODAY APT'S, NAVGHAR, 'X' ROAD, GODDEV JUNCTION, BHAYANDER (E), MUMBAI, MAHARASHTRA, 401101",022-28044418,MUMBAI,,,,
ASHWINI HOSPITAL AND ICCU,"LALAN BUILDING,1ST FLOOR, P K ROAD, MULUND (W), MUMBAI, MAHARASHTRA, 400080",022-5603386,MUMBAI,,,,
ASIAN EYE INSTITUTE & LASER CENTRE,"201, SATYA NARAYAN APARTMENT, BORIVLI (E), MUMBAI, MAHARASHTRA, 400066",022-28940598,MUMBAI,,,,
ASIAN INSTITUTE OF MEDICAL SCIENCES,"PLOT NO.72, MILAP NAGAR, DOMBIVLI (EAST), THANE, MAHARASHTRA, 421203",0251-2470000,THANE,,,,
ASIAN INSTITUTE OF MEDICAL SCIENCES(BLUE SAPPHIRE HEALTHCARES PVT LTD),"BADKAL FLYOVER ROAD , SECTOR-21A FARIDABAD, FARIDABAD, HARYANA, 121001",0129-4253000,FARIDABAD,,,,
ASIAN SPECIALTY HOSPITAL,"11/A, 9TH MAIN, 13TH CROSS, HSR LAYOUT SECTOR 6 , BANGALORE , KARNATAKA, 560102",25722572,BANGALORE,,,,
ASTHA HOSPITAL,"NH-05, BLOCK-1, SECTOR-ALPHA-II, GREATER NOIDA, DISTRICT GAUTAM BUDH NAGAR, NOIDA, UTTAR PRADESH, 201306","0120-4291777, 9818846447",NOIDA,,,,
ASTHA ORTHOPAEDIC HOSPITAL,"VASUPUJYA COMPLEX, OPP. L.I.C BLDG., JIVRAJ ROAD, VASNA, AHMEDABAD, GUJARAT, 380007",079-26645545,AHMEDABAD,,,,
ATHIPATHI HSOPITAL & RESEARCH CENTRE,"NO.-4, 100 FEET ROAD, TANSI NAGAR, VELACHERY, CHENNAI, TAMILNADU, 600042",044-2243246,CHENNAI,,,,
AVADHOOT HOSPITAL & ICCU,"PLOT NO. 29, SECTOR-19, OPPOSITE NHP SCHOOL, AIROLI, NAVI MUMBAI, MAHARASHTRA, 400708","022-27640909, 27640911",NAVI MUMBAI,,,,
AVASTHI BONE & JOINT CLINIC & HOSPITAL,"135, GREEN PARK, CIVIL LINES, LUDHIANA, PUNJAB, 141001",0161-2449026,LUDHIANA,,,,
AXON HOSPITALS,"8-3-215, SRINIVAS NAGAR COLONY WEST, AMEERPET MAIN ROAD, OPPOSITE ICICI BANK, HYDERABAD, ANDHRA PRADESH, 500038",040-44505555,HYDERABAD,,,,
AYUSHMAN HOSPITAL & TRAUMA CENTRE,"HERO HONDA CHOWK, NH-8, GURGAON, HARYANA, 122001",0124-4035971,GURGAON,,,,
B L KAPUR MEMORIAL HOSPITAL,"PUSA ROAD, NEW DELHI, NEW DELHI, DELHI, 110005",011-30403040,NEW DELHI,,,,
B SIDDARAMANNA HOSPITAL,"OPP L B RAILWAY STATION ROAD, GANDHINAGAR, TUMKUR, KARNATAKA, 572101",8162275557,TUMKUR,,,,
B. P. PODDAR HOSPITAL & MEDICAL RESEARCH LTD.,"71/1, HUMAYUN KABIR SARANI, BLOCK-G, NEW ALIPORE, KOLKATA, WEST BENGAL, 700053",033-24458901,KOLKATA,,,,
B.M. BIRLA HEART RESEARCH CENTRE,"1/1, NATIONAL LIBRARY AVENUE, KOLKATA, WEST BENGAL, 700027",033-24567890 / 24567777,KOLKATA,,,,
B.M.GUPTA NURSING HOME P. LTD,"H-11, UTTAM NAGAR, DELHI, NEW DELHI, DELHI, 110059",1147157727,NEW DELHI,,,,
BAJAJ EYE CARE CENTRE,"101, VIKAS SURYA PLAZA, 7 DDA COMMUNITY CENTRE, PITAMPURA, NEW DELHI, DELHI, 110034",011-27012054-47024919,NEW DELHI,,,,
BALI NURSING HOME,"20-B/3, D.B. GUPTA ROAD, KAROL BAGH, NEW DELHI, DELHI, 110005",011-28716363,NEW DELHI,,,,
BANARSIDAS CHANDIWALA INSTITUTE OF MEDICAL SCIENCE,"CHANDIWALA ESTATE, MAA ANANDMAI MARG , KALKAJI, NEW DELHI, DELHI, 110019",011-26826204,NEW DELHI,,,,
BANSAL HOSPITAL & RESEARCH CENTER,"17, JANAKPURI- IST, IMLI PHATAK, JAIPUR, RAJASTHAN, 0",0141-2591110,JAIPUR,,,,
BAPUJI MATERNITY & NURSING HOME,"7-44, BAPUJI NAGAR, NACHARAM, HYDERABAD, ANDHRA PRADESH, 500076",040-27175567,HYDERABAD,,,,
BARRACKPORE MEDICARE & RECOVERY CENTRE LTD.,"6/6, B. T. ROAD, TALPUKUR, KOLKATA, WEST BENGAL, 700123",033-25014947,KOLKATA,,,,
BASAVAJYOTI NERHRALAYA,"KAPPIKERE COMPLEX, NEAR FAMILY PLANNING CENTER (FPAI), OPP SAI SCHOOL STADIUM ROAD, BIDAR, KARNATAKA, 585401",9880887906,BIDAR,,,,
BASSI NURSING HOME PVT. LTD.,"B-970,NEAR DHABIGHAL,RAJPURA ROAD, LUDHIANA, PUNJAB, 191001",0161-2304031,LUDHIANA,,,,
BATRA HOSPITAL & MEDICAL RESEARCH CENTRE,"1, TUGHLAKABAD INSTITUTIONAL AREA, NEW DELHI, DELHI, 110062","011-29958747, 26051668",NEW DELHI,,,,
BAVASHI EYE HOSPITAL,"1 TAPAN SOCIETY, S M ROAD, NEHRU NAGAR CIRCLE, SATELLITE, AHMEDABAD, AHMEDABAD, GUJARAT, 380015",079 - 26753534,AHMEDABAD,,,,
BAVISHI EYE HOSPITAL,"1 TAPAN SOCIETY, S M ROAD, NEHRU NAGAR CIRCLE, , SATELLITE, AHMEDABAD, GUJARAT, 380015",079 - 26753534,AHMEDABAD,,,,
BBR MULTI SPECIALITY HOSPITAL,"7-4-194, FEROZABAD, BALANAGAR, SECUNDERABAD, ANDHRA PRADESH, 500011",040-23779999,SECUNDERABAD,,,,
BELLE-VUE NURSING HOME PVT. LTD.,"SEJAL IST FLOOR,LINK EXTN. ROAD, VERRA DESAI ROAD,VERSOVA, ANDHERI(W), MUMBAI, MAHARASHTRA, 400053",022-26736037,MUMBAI,,,,
BELLEVUE MULTISPECIALITY HOSPITAL,"1ST FLOOR, ""THE LINK"", LINK ROAD EXTENSION, OPP. STAR BAZAAR, NEXT TO AUDI SHOWROOM, ANDHERI (W), MUMBAI, MAHARASHTRA, 400053",022 - 66868600/10/07,MUMBAI,,,,
BENSUPS HOSPITAL,"BENSUPS AVENUE, SEC-12, DWARKA, DWARKA, NEW DELHI, DELHI, 110075",011-45550000,NEW DELHI,,,,
BETHANY HOSPITAL,"OPP. MANIKETAN,POKHARAN ROAD NO.2, , THANE WEST, THANE, MAHARASHTRA, 400010",022-21725100-5124,THANE,,,,
BHAGAT HOSPITAL,"D-2/48-49, JANAK PURI, NEW DELHI, DELHI, 110052",011-25505502,NEW DELHI,,,,
BHAGWAN MAHAVEER CANCER HOSPITAL & RESEARCH CENTRE,"JAWAHARLAL NEHRU MARG, JAIPUR, JAIPUR, RAJASTHAN, 302017",0141-2700107,JAIPUR,,,,
BHAGWAN MAHAVEER JAIN HEART CENTRE,"MILLERS ROAD, VASANTH NAGAR, BANGALORE, KARNATAKA, 560052",080-22267600/2228611,BANGALORE,,,,
BHAGWATI HOSPITAL,"CS/OCF-6, NEAR POPULAR APPARTMENT, SECTOR 13, ROHINI, NEW DELHI, DELHI, 110085",011-27554179/27554182,NEW DELHI,,,,
BHARDWAJ HOSPITAL,"NH-1 , SECTOR-29, NOIDA, UTTAR PRADESH, 201301",0120-2450111,NOIDA,,,,
BHARGAVA HOSPITAL,"15/263 CIVIL LINES, KANPUR, KANPUR, UTTAR PRADESH, 208002",0512-2304700,KANPUR,,,,
BHARTI EYE FOUNDATION,"1/3, EAST PATEL NAGAR, NEW DELHI, DELHI, 110008",011-25889900/25885533,NEW DELHI,,,,
BHATIA NURSING HOME,"PUNJABI MUHALLA, NEAR GUPT HOTEL, BALLABGARH, FARIDABAD, HARYANA, 121004",0129-2241202/2246867,FARIDABAD,,,,
BILLROTH HOSPITAL R A PURAM,"52, II MAIN ROAD, R.A. PURAM, CHENNAI, TAMILNADU, 600028",044-24641111,CHENNAI,,,,
BILLROTH HOSPITALS LIMITED,"43, LAKSHMI TALKIES ROAD,SHENOY NGR., OPP. POONAMALLEE HIGH ROAD, CHENNAI, TAMILNADU, 600030","044-26641777, 26641020",CHENNAI,,,,
BIMLA DEVI HOSPITAL,"PLOT NO. 5, POCKET-B, MAYUR VIHAR PHASE-II, DELHI, DELHI, 110091",011-22788989,DELHI,,,,
BOMBAY HOSPITAL & MEDICAL RESEARCH CENTRE,"12, SIR V. T. MARG, NEW MARINE LINES, MARINE LINES, MUMBAI, MAHARASHTRA, 400020",022 - 22067676 / 22088323,MUMBAI,,,,
BRISTLECONE HOSPITALS PVT. LTD.,"3-4-136/A, STREET NO. 6, , BARKATPURA, HYDERABAD, ANDHRA PRADESH, 500027",040-45999999,HYDERABAD,,,,
CARDINAL GRACIAS MEMORIAL HOSPITAL,"SANDOR, BANGLI, VASAI (W), THANE, MAHARASHTRA, 401201",0250-2325018,THANE,,,,
CARE HOSPITAL,"6-3-248/2,ROAD NO.1, BANJARA HILLS, HYDERABAD, ANDHRA PRADESH, 500034",040-66668888/30418888,HYDERABAD,,,,
CARE HOSPITAL,"EXHIBITION ROAD, NAMPALLY, HYDERABAD, ANDHRA PRADESH, 500001",040-30417777,HYDERABAD,,,,
CENTRAL HOSPITAL,"A-142/1, GANESH NAGAR, TILAK NAGAR, NEW DELHI, DELHI, 110018",011-40777999,NEW DELHI,,,,
CENTRE FOR SIGHT,"B - 5/24, SAFDARJUNG ENCLAVE, NEW DELHI, NEW DELHI, DELHI, 110029",011-41644000/4145738888,NEW DELHI,,,,
CENTRE FOR SIGHT,"F-19,MAIN VIKAS MARG, PREET VIHAR, NEW DELHI, DELHI, 110092",011-22461134,NEW DELHI,,,,
CENTRE FOR SIGHT,"A-23, GREEN PARK (NEAR THE CHURCH), AUROBINDO MARG, NEW DELHI, DELHI, 110016","26513723, 41651744",NEW DELHI,,,,
CHAITANYA HOSPITAL,"NEAR CHINCHWADGAON POLICE CHOWKY, CHAPEKAR CHOWK, CHICHWAD, PUNE, MAHARASHTRA, 411033",020-27485833,PUNE,,,,
CHALLA EYE CARE CENTRE,"8-2-268/R/9-P,SAGAR SOCIETY MAIN RD, ROAD NO.2, BANJARA HILLS, HYDERABAD, ANDHRA PRADESH, 500016",040-23733705,HYDERABAD,,,,
CHANDNA MEDICAL CENTER,"52 & 85, SECTOR-18A, NEAR NEW SABZI MANDI, FARIDABAD, HARYANA, 0",0129-4172411-18-2297224-2286812,FARIDABAD,,,,
CHANDRA LAXMI HOSPITAL,"SECTOR-4/337, OPP. ELECTRICITY BILL, DEPOSIT OFFICE, VAISHALI, GHAZIABAD, UTTAR PRADESH, 201010",0120-2894783-2894784,GHAZIABAD,,,,
CHARNOCK HOSPITAL & RESEARCH CENTRE PVT. LTD,"JUNCTION OF VIP ROAD & NEW TOWN APPROACH ROAD, OPPOSITE TO CLUB TOWN, TEGHORIA, KOLKATA, WEST BENGAL, 700059",033-25735707-5708,KOLKATA,,,,
CHAUDHARY EYE CENTRE & LASER VISION,"4802, BHARAT RAM ROAD, 24, DARYA GANJ, NEW DELHI, DELHI, 110002",011-23243717,NEW DELHI,,,,
CHEEMA MEDICAL COMPLEX,"PH-4,NEAR TELEPHONE EXCHANGE, MOHALI, PUNJAB, 160059",0172-2270289,MOHALI,,,,
CHENNAI EYE CARE HOSPITAL,"6, 12TH CROSS STREET, DHANDEEWARAM NAGAR, CHENNAI, TAMILNADU, 600042",044-42021909,CHENNAI,,,,
CHETNA CRITICAL CARE UNIT,"R.R. T. ROAD, NAVIN JYOT BUILDING, MULUND ( W), MUMBAI, MAHARASHTRA, 400080",022 - 25905544 / 33,MUMBAI,,,,
CHOMU MAHILA & EYE HOSPITAL (P) LTD.,"SAMOD MOD, PAKHA BANDHA, RINGUS ROAD, CHOMU, JAIPUR, RAJASTHAN, 303702",01423-223210,JAIPUR,,,,
CHOPRA EYE HOSPITAL & LASER CENTRE,"HOUSE NO.3, POCKET C-8, SECTOR-7, DELHI, NEW DELHI, DELHI, 110085",011-27933400-27043500,NEW DELHI,,,,
CHOUDHARY ENT MATERNITY & GENERAL HEALTHCARE CENTRE,"NEAR OLD S.B.I., KATRA KHAZANA, AMRITSAR, PUNJAB, 142001",0183-2521722,AMRITSAR,,,,
CHRISTIAN MEDICAL COLLEGE,"IDA SCUDDER ROAD, VELLORE, VELLORE, TAMILNADU, 632004",4162282592,VELLORE,,,,
CHRISTIAN MEDICAL COLLEGE AND HOSPITAL,"BROWN ROAD, LUDHIANA, PUNJAB, 141008",0161-2660856,LUDHIANA,,,,
CHRISTUDAS ORTHOPAEDIC SPECIALITY HOSPITAL,"# 9, DURAISWAMY NAGAR, IAF ROAD, EAST TAMBARAM, CHENNAI, TAMILNADU, 600059",044-22790340,CHENNAI,,,,
CHUGH EYE SURGERY CENTRE,"637-L MODEL TOWN JAWADI ROAD LUDHIANA , LUDHIANA, LUDHIANA, PUNJAB, 141002","0161-2455391,2462329",LUDHIANA,,,,
CITIZENS HOSPITAL,"NALLAGNDLA, SERILINGAMPALLY, HYDERABAD, ANDHRA PRADESH, 500019",4067191919,HYDERABAD,,,,
CLEAR VISION EYE HOSPITAL,"3-6-272, NVK TOWERS, HIMAYATH NAGAR, HYDERABAD, TELANGANA, 500029",040-23225386/9849026212,HYDERABAD,,,,
COLUMBIA ASIA HOSPITALS PALAM VIHAR,"BLOCK-F, NEAR GOLCHAKKAR, PALAM VIHAR, GURGAON, HARYANA, 122017",0124-3989896,GURGAON,,,,
CONTINENTAL HOSPITALS LIMITED,"PLOT NO :3 ROAD NO:2 IT & FINACIAL DISTRICT, NANAKRAMGUDA GACHIBOWLI, HYDERABAD, ANDHRA PRADESH, 500035",4067229999,HYDERABAD,,,,
COSMO MEDICALS PVT. LTD,"SECTOR-62, PHASE-8, MOHALI, PUNJAB, 160062",0172-2215381,MOHALI,,,,
CRITI - CARE ICCU MULTI SPECIALITY & TRAUMA CENTRE,"PLOT NO. 2 A, SWAMI SAMARTH COMPLEX, SECTOR - 16, , AIROLI, NAVI MUMBAI, MAHARASHTRA, 400708",022 - 27794705,NAVI MUMBAI,,,,
CRITICARE MULTISPECIALITY HOSPITAL & RESEARCH CENTRE,"PLOT NO.38/39, MAIN GULMOHAR RD., JVPD.SCHEME,ANDHERI (W), MUMBAI, MAHARASHTRA, 400049",022-26286644,MUMBAI,,,,
DANDEKAR HOSPITAL,"B-135/136, KASTURI PLAZA, MANPADA ROAD, DOMBIVALI(E), THANE, MAHARASHTRA, 421201",0251-2862337,THANE,,,,
DATTATREYA NURSING HOME,"OPP. BANDHUTVA CHS DATTA MANDIR RD VAKOLA BRIDGE SANTACRUZ (E), MUMBAI, MUMBAI, MAHARASHTRA, 400055",022-26682841,MUMBAI,,,,
DAYANAND MEDICAL COLLEGE & HOSPITAL,"TAGORE NAGAR, CIVIL LINES, LUDHIANA, PUNJAB, 141001",0161-2304250,LUDHIANA,,,,
DEEKSHA HOSPITAL,"NO.387/347, B B ROAD, YELAHANKA OLD TOWN, BANGALORE, BANGALORE , KARNATAKA, 560064",080-28561228,BANGALORE,,,,
DEEP HOSPITAL & RESEARCH CENTRE,"KHATIPURA ROAD, JHOTWARA ROAD, JAIPUR, RAJASTHAN, 302012",0141-3093298,JAIPUR,,,,
DEEPAK MEMORIAL HOSPITAL & MEDICAL RESEARCH CENTRE,"5-6, INSTITUTIONAL AREA, VIKAS MARG EXTENSION - II, NEW DELHI, DELHI, 110092",011-22373380/22378384,NEW DELHI,,,,
DEEPAM HOSPITAL LTD,"107A, G T ROAD, CHRONPET, CHRONPET, CHENNAI, TAMILNADU, 600044",044-22646000,CHENNAI,,,,
DELHI HEART & LUNG INSTITUTE(A UNIT OF APEX HEART CARE PVT.LTD.),"3-MM, II, PANCHKUIAN ROAD, NEW DELHI, NEW DELHI, DELHI, 110055",011-23538351-58,NEW DELHI,,,,
DELHI HOSPITAL & TEMPLE NURSING HOME,"1, ANSARI ROAD, DARYA GANJ, NEW DELHI, DELHI, 110002",011-23274065,NEW DELHI,,,,
DEVASYA MULTI SPECIALITY HOSPITAL & RESEARCH CENTRE,"3, PANCHAL NAGAR, SOCIETY, NEW VADAJ ROAD, VADAJ, AHMEDABAD, GUJARAT, 380013","079-27642100, 27642200",AHMEDABAD,,,,
DHALIWAL HOSPITAL,"3, BATALA ROAD, AMRITSAR, AMRITSAR, PUNJAB, 0","0183-2278002, 2275002",AMRITSAR,,,,
DHAMI EYE CARE HOSPITAL,"# 82-B, KITCHLU NAGAR, LUDHIANA, PUNJAB, 141001",0161-2303360,LUDHIANA,,,,
DHANVANTRI CHILDRENS HOSPITAL,"2ND FLOOR, MOHAN HERITAGE BUILDING, OPP TMC OFFICES PANCHPAKHADI ,THANE(WEST), THANE, MAHARASHTRA, 400601",022-25416465,THANE,,,,
DHANWANTARY HOSPITAL & INTENSIVE CARDIAC CARE UNIT,"545, N S ROAD, MULUND, MUMBAI, MAHARASHTRA, 400080",022- 25644706,MUMBAI,,,,
DHARAM HOSPITAL,"H.NO.2040, SECTOR-15-C, CHANDIGARH, CHANDIGARH, CHANDIGARH, 160015",0172-2781164,CHANDIGARH,,,,
